date_month,crypto_id,id_name,open,close,diff_oc,mean_oc,high,low,diff_hl,mean_hl,volume,number_of_trades
2017-08,BTC,Bitcoin,4261.48,4724.89,463.41000000000076,4493.1849999999995,4745.42,3400.0,1345.42,4072.71,10015.640272,69180
2017-08,ETH,Ethereum,301.13,384.79,83.66000000000003,342.96000000000004,393.71,144.21,249.49999999999997,268.96,82652.55971,73552
2017-09,BTC,Bitcoin,4724.89,4378.51,-346.3800000000001,4551.700000000001,4939.19,2817.0,2122.1899999999996,3878.095,27634.18912,228745
2017-09,ETH,Ethereum,384.79,304.36,-80.43,344.57500000000005,394.39,192.0,202.39,293.195,167937.12443999999,177180
2017-10,BTC,Bitcoin,4378.49,6463.0,2084.51,5420.745,6498.01,4110.0,2388.01,5304.005,41626.388463,303389
2017-10,ETH,Ethereum,304.36,304.9,0.5399999999999636,304.63,354.0,272.2,81.80000000000001,313.1,231137.83697,214648
2017-11,BNB,Binance Coin,1.5,1.95,0.44999999999999996,1.725,2.1997,0.5,1.6997,1.34985,8492160.3,41544
2017-11,BTC,Bitcoin,6463.0,9838.96,3375.959999999999,8150.98,11300.03,5325.01,5975.02,8312.52,108487.978119,577424
2017-11,ETH,Ethereum,304.89,427.43,122.54000000000002,366.15999999999997,515.0,274.73,240.26999999999998,394.865,558140.09976,362825
2017-11,NEO,NEO,36.0,32.438,-3.5619999999999976,34.219,46.0,29.104,16.896,37.552,433159.17,24742
2017-12,BNB,Binance Coin,1.95,8.53,6.579999999999999,5.239999999999999,11.3,1.8801,9.4199,6.590050000000001,33765828.42,675039
2017-12,BTC,Bitcoin,9837.0,13716.36,3879.3600000000006,11776.68,19798.68,9380.0,10418.68,14589.34,408476.658399,3082883
2017-12,ETH,Ethereum,428.05,733.98,305.93,581.015,864.9,375.01,489.89,619.9549999999999,1709681.42863,1717737
2017-12,LTC,Litecoin,272.0,223.69,-48.31,247.845,366.96,177.58,189.37999999999997,272.27,535065.48593,317072
2017-12,NEO,NEO,32.38,74.853,42.47299999999999,53.6165,83.8,30.209,53.590999999999994,57.0045,5149192.573,367588
2018-01,BNB,Binance Coin,8.5478,11.3131,2.7653,9.93045,25.18,7.8,17.38,16.49,78474425.46,1807917
2018-01,BTC,Bitcoin,13715.65,10285.1,-3430.5499999999993,12000.375,17176.24,9035.0,8141.240000000002,13105.62,816675.564467,7214977
2018-01,ETH,Ethereum,733.01,1124.81,391.79999999999995,928.91,1440.0,716.8,723.2,1078.4,4449875.05067,5243958
2018-01,LTC,Litecoin,223.69,165.19,-58.5,194.44,315.0,135.67,179.33,225.33499999999998,1953438.49836,875325
2018-01,NEO,NEO,74.854,146.488,71.634,110.67099999999999,198.6,71.05,127.55,134.825,9577571.241,1580292
2018-02,BNB,Binance Coin,11.3131,10.4536,-0.8595000000000006,10.88335,11.8461,5.5233,6.3228,8.6847,66521989.14,2286896
2018-02,BTC,Bitcoin,10285.1,10326.76,41.659999999999854,10305.93,11786.01,6000.01,5786.0,8893.01,1243940.85531,11684784
2018-02,ETH,Ethereum,1125.96,853.5,-272.46000000000004,989.73,1164.99,570.1,594.89,867.5450000000001,4763007.17082,7645670
2018-02,LTC,Litecoin,164.83,201.86,37.03,183.34500000000003,254.8,106.5,148.3,180.65,7783743.0023,2980970
2018-02,NEO,NEO,146.101,131.7,-14.40100000000001,138.9005,147.6,64.3,83.3,105.94999999999999,12880531.306,2634020
2018-03,BNB,Binance Coin,10.4641,11.051,0.5869,10.75755,14.9444,7.06,7.8844,11.0022,109334954.28999999,2460652
2018-03,BTC,Bitcoin,10325.64,6923.91,-3401.7299999999996,8624.775,11710.0,6600.1,5109.9,9155.05,1235326.31402,9237002
2018-03,ETH,Ethereum,853.5,393.92,-459.58,623.71,879.96,366.0,513.96,622.98,3233542.72918,3881675
2018-03,LTC,Litecoin,201.86,116.05,-85.81000000000002,158.955,218.39,109.77,108.61999999999999,164.07999999999998,4325864.21604,1510259
2018-03,NEO,NEO,131.623,49.918,-81.70499999999998,90.7705,135.499,48.78,86.719,92.1395,16241767.084999999,2279383
2018-03,QTUM,Qtum,16.0,14.031,-1.9689999999999994,15.0155,22.0,13.1,8.9,17.55,12522304.57,533372
2018-04,ADA,Cardano,0.25551,0.34145,0.08593999999999996,0.29847999999999997,0.3866,0.23983,0.14677,0.313215,1174515808.74,759135
2018-04,BNB,Binance Coin,11.0599,14.3291,3.2691999999999997,12.694500000000001,15.9,10.3002,5.5998,13.100100000000001,110473101.32000001,2336169
