crypto_id
BTC
ETH
BNB
NEO
LTC
QTUM
ADA
EOS
IOTA
XLM
XRP
ETC
TRX
VET
LINK
WAVES
ZIL
BAT
DASH
IOST
ZEC
ATOM
ENJ
MATIC
THETA
TFUEL
ALGO
DOGE
CHZ
HBAR
RVN
XTZ
BCH
STMX
CRV
DOT
MANA
SAND
SOL
AVAX
SUSHI
UNI
AAVE
FIL
NEAR
XEM
GRT
CAKE
ICP
SHIB
